Cow,treatment,FluxCO2,FluxCH4,FluxN2O,exp
1,Antibiotic,43578.60034,-1.995971063,-0.538839071,a
2,Antibiotic,66417.66928,-1.990722198,-0.550219575,a
3,Antibiotic,24626.6443,0.381959233,0.768775531,a
4,Antibiotic,28840.1758,-0.810555871,-3.509357862,a
5,Antibiotic,32206.67639,-1.126068834,-0.29051105,a
6,Antibiotic,24369.27413,-1.009213641,0.617396108,a
7,Antibiotic,33368.75286,1.368777501,-0.396309352,a
8,Antibiotic,17590.1051,0.484889074,-0.478292878,a
9,Antibiotic,22779.76864,0.452962198,0.241755878,a
10,Antibiotic,23447.70316,-0.149819836,-1.301912705,a
11,Antibiotic,17114.24435,-0.79718722,-0.156121595,a
12,Antibiotic,24043.62383,-0.440924841,-0.620447879,a
13,Antibiotic,35574.32125,0.309428575,1.846611683,a
14,Antibiotic,29301.8298,-0.478729704,-1.177020543,a
15,Antibiotic,28019.77128,-1.495131436,0.825783126,a
16,Antibiotic,29541.3788,0.163786439,-0.409164096,a
17,Antibiotic,74996.53757,-0.650977659,3.469001516,a
18,Antibiotic,19189.19284,-0.636768111,-0.745463557,a
19,Antibiotic,31586.02105,1.499110094,-1.638251123,a
20,Antibiotic,32416.99944,1.33893485,2.00568388,a
21,Antibiotic,45169.64598,-0.903988088,2.59237682,a
22,Antibiotic,35212.45813,1.315737199,-2.276554472,a
23,Antibiotic,16551.49962,-0.123447308,-0.077112214,a
24,Antibiotic,27736.46993,-0.57482972,0.22983802,a
25,Antibiotic,41459.98287,-0.177441313,1.837113595,a
26,Antibiotic,43390.82911,0.911996177,2.948609753,a
27,Antibiotic,40021.71505,0.689836448,18.69444889,a
28,Control,34537.16177,0.764986141,-3.800063088,a
29,Control,34748.16192,0.393362053,2.550961764,a
30,Control,20928.8343,-0.234515432,-1.580806766,a
